o,d,dis
4,65,24732.67603
4,92,25047.94896
4,32,25257.9552
4,27,25617.79774
4,20,25839.42822
4,19,25848.41144
4,18,26508.59658
4,23,26869.57988
4,11,27143.24895
4,8,27346.41071
4,26,27840.58914
4,111,28526.68226
4,94,28635.25086
4,54,29053.28493
4,71,29116.33751
4,66,30160.81332
4,110,30274.72625
4,56,31202.89661
4,3,31879.58372
4,25,34727.91372
5,5,0.0
5,77,1417.214689
5,120,1494.605327
5,102,1585.302585
5,100,1965.164408
5,101,2145.482674
5,125,2368.742324
5,103,2479.567385
5,73,3105.379439
5,47,3341.930818
5,17,3462.118775
5,121,3820.204114
5,122,3830.868618
5,123,3905.359642
5,96,4108.910492
5,57,4111.834201
5,74,4509.519862
5,58,4545.063006
5,95,4598.10311
5,124,4654.27133
5,93,4818.096812
5,70,4990.442375
5,19,5087.568439
5,99,5105.630429
5,91,5145.980803
5,18,5449.430483
5,75,5536.251407
5,106,5737.055633
5,16,6356.04736
5,20,6389.862373
5,15,6418.820097
5,98,6643.321593
5,11,7043.246015
5,104,7280.532758
5,60,7384.027654
5,119,7407.356166
5,85,7525.916287
5,92,7780.363859
5,40,7790.813203
5,72,7801.593508
5,88,7847.441705
5,109,7928.755377
5,23,8009.490127
5,97,8103.066716
5,107,8142.949418
5,54,8306.337627
5,59,8468.312852
5,6,8495.06455
5,78,8527.362523
5,111,8542.236082
5,108,8583.578094
5,43,8749.430733
5,55,9351.737525
5,71,9808.645228
5,33,10102.66875
5,110,10138.26636
5,56,10455.9493
5,2,10477.78031
5,94,10501.80228
5,84,10624.83311
5,38,10844.17704
5,61,10889.78705
5,89,10933.20041
5,9,11198.26569
5,10,11271.54219
5,12,11675.61166
5,32,11707.92843
5,62,11937.09663
5,48,12049.86513
5,69,12253.68437
5,90,12505.10513
5,8,12546.38788
5,117,12977.86508
5,49,13340.83924
5,87,13663.94555
5,44,13981.34417
5,80,14114.93895
5,41,14117.37026
5,42,14137.02279
5,25,14193.12718
5,76,14312.53085
5,83,14375.65247
5,86,14616.92234
5,105,14686.99513
5,45,14881.16447
5,24,14889.56042
5,34,14971.03633
5,52,14993.2294
5,36,15040.23416
5,51,15051.51564
5,64,15062.5305
5,50,15168.85862
5,3,15570.8502
5,53,15598.09206
5,39,15658.30649
5,30,15832.86556
5,31,15942.46431
5,81,15969.12219
5,46,16036.37617
5,114,16121.69542
5,113,16647.14978
5,115,16652.14513
5,37,16718.99625
5,26,16751.3298
5,1,16949.52216
5,112,17100.38641
5,7,17556.99397
5,35,17560.97862
5,66,17617.43283
5,63,17639.04371
5,21,17837.33681
5,79,17838.00026
5,22,17842.00971
5,116,17889.90862
5,118,18737.28033
5,14,18953.15414
5,82,19336.49443
5,27,19404.73596
5,28,19951.86549
5,65,20162.69237
5,4,21104.10777
5,67,21453.49977
5,13,22141.9766
5,68,22198.6673
5,29,25134.64714
6,6,0.0
6,59,26.7516976
6,109,692.0974105
6,61,2463.193908
6,107,3051.196614
6,106,3061.078921
6,108,3494.970153
6,62,3715.983834
6,60,4131.877347
6,124,4319.006217
6,58,4470.851797
6,75,4529.997985
6,78,4718.028753
6,121,5114.012302
6,122,5124.676806
6,123,5158.977351
6,74,5652.242481
6,104,5657.15855
6,119,5783.981958
6,85,6180.220346
6,72,6221.573573
6,73,6283.118712
6,24,6650.127488
6,125,6717.903595
6,55,6759.06174
6,102,6943.350162
6,120,7034.04742
6,77,7119.833275
6,20,7169.369441
6,103,7170.63492
6,23,7324.146564
6,57,7803.753137
6,8,8193.821482
6,47,8199.857472
6,43,8357.010585
6,11,8433.79938
6,97,8467.123618
6,5,8495.06455
6,99,8701.517464
6,100,8839.806923
6,101,8871.262211
6,111,8981.248942
6,40,9034.435751
6,7,9317.561037
6,63,9399.610785
6,84,9645.317429
6,26,9731.867703
6,48,9796.722773
6,19,10129.12868
6,21,10492.50756
6,22,10497.18047
6,38,10511.3594
6,49,10655.65562
6,89,10699.92626
6,9,10863.53846
6,10,10936.81496
6,96,10987.49298
6,27,11206.01385
6,110,11516.51611
6,76,11564.46823
6,69,11861.48189
6,105,11938.93252
6,17,11945.92984
6,90,12112.90265
6,52,12235.8221
6,51,12294.10835
6,117,12294.74557
6,18,12366.17016
6,50,12399.1249
6,12,12804.81611
6,53,12828.35834
6,95,12893.66761
6,44,12931.02513
6,64,12959.49127
6,41,13101.23656
6,42,13120.88909
6,93,13260.96023
6,70,13286.00688
6,83,13359.51877
6,87,13379.86616
6,91,13441.54531
6,45,13616.17647
6,80,13722.73647
6,36,14364.18695
6,39,14642.17279
6,46,14652.92826
6,88,14794.19819
6,86,14838.43837
6,16,14839.85843
6,15,14897.96203
6,98,15122.46353
6,34,15172.18746
6,81,15328.73765
6,114,15480.93067
6,33,15500.44452
6,25,15969.70357
